Rank,Name,CategoryName,Folder,Birth,Death,PeakYear,Movements,P_1830,P_1833,P_1836,P_1839,P_1842,P_1845,P_1848,P_1851,P_1854,P_1857,P_1860,P_1863,P_1866,P_1869,P_1872,P_1875,P_1878,P_1881,P_1884,P_1887,P_1890,P_1893,P_1896,P_1899,P_1902,P_1905,P_1908,P_1911,P_1914,P_1917,P_1920,P_1923,P_1926,P_1929,P_1932,P_1935,P_1938,P_1941,P_1944,P_1947,P_1950,P_1953,P_1956,P_1959,P_1962,P_1965,P_1968,P_1971,P_1974,P_1977,P_1980,P_1983,P_1986,P_1989,P_1992,P_1995,P_1998,P_2001,P_2004,P_2007,P_2010,P_2013,P_2016,P_2019,P_2022
1,Christopher Dresser,Christopher_Dresser,dresser,1834,1904,1860,Christopher_Dresser:1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Peter Behrens,Peter_Behrens,behrens,1868,1940,1907,Art Nouveau:1895|Modernism:1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5:Art Nouveau,10:Art Nouveau,15:Art Nouveau,20:Art Nouveau,25:Modernism,30:Modernism,25:Modernism,20:Modernism,15:Modernism,10:Modernism,5:Modernism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Raymond Loewy,Raymond_Loewy,loewy,1893,1986,1930,Raymond_Loewy:1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Henry Dreyfuss,Henry_Dreyfuss,dreyfuss,1904,1972,1930,Henry_Dreyfuss:1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Norman Bel Geddes,Norman_Bel_Geddes,geddes,1893,1958,1930,Norman_Bel_Geddes:1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Walter Gropius,Walter_Gropius,gropius,1883,1969,1919,Walter_Gropius:1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Marcel Breuer,Marcel_Breuer,breuer,1902,1981,1925,Marcel_Breuer:1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Marianne Brandt,Marianne_Brandt,brandt,1893,1983,1924,Marianne_Brandt:1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Wilhelm Wagenfeld,Wilhelm_Wagenfeld,wagenfeld,1900,1990,1924,Wilhelm_Wagenfeld:1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alvar Aalto,Alvar_Aalto,aalto,1898,1976,1932,Alvar_Aalto:1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
