Designer,Work,Type,Status,SourceURL,LocalPath,Notes
Naoto Fukasawa,Nothing-Design-Event-Tokyo-2024-07-05 011.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/9/94/Nothing-Design-Event-Tokyo-2024-07-05_011.jpg,D:\history of id course\images\_extras\fukasawa\Nothing-Design-Event-Tokyo-2024-07-05_011.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,sapper_9090_espresso_maker,Target,NotFound,,images/sapper/sapper_9090_espresso_maker.jpg,No match in category
Richard Sapper,sapper_alessi_kettle,Target,NotFound,,images/sapper/sapper_alessi_kettle.jpg,No match in category
Richard Sapper,sapper_boll,Target,NotFound,,images/sapper/sapper_boll.jpg,No match in category
Naoto Fukasawa,Nothing-Design-Event-Tokyo-2024-07-05 012.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/8/8f/Nothing-Design-Event-Tokyo-2024-07-05_012.jpg,D:\history of id course\images\_extras\fukasawa\Nothing-Design-Event-Tokyo-2024-07-05_012.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,sapper_coban_espresso_machine,Target,NotFound,,images/sapper/sapper_coban_espresso_machine.jpg,No match in category
Richard Sapper,sapper_grillo_telephone,Target,NotFound,,images/sapper/sapper_grillo_telephone.jpg,No match in category
Richard Sapper,sapper_halley_lamp,Target,NotFound,,images/sapper/sapper_halley_lamp.jpg,No match in category
Richard Sapper,sapper_ibm_thinkpad,Target,NotFound,,images/sapper/sapper_ibm_thinkpad.jpg,No match in category
Naoto Fukasawa,Nothing-Design-Event-Tokyo-2024-07-05 013.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/4/4a/Nothing-Design-Event-Tokyo-2024-07-05_013.jpg,D:\history of id course\images\_extras\fukasawa\Nothing-Design-Event-Tokyo-2024-07-05_013.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,sapper_portrait,Target,NotFound,,images/sapper/sapper_portrait.jpg,No match in category
Richard Sapper,sapper_tizio_lamp,Target,NotFound,,images/sapper/sapper_tizio_lamp.jpg,No match in category
Richard Sapper,sapper_ts_502_radio,Target,NotFound,,images/sapper/sapper_ts_502_radio.jpg,No match in category
Richard Sapper,Alessi-Caffetiera espresso 9090-Design Richard Sapper 1979.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/0/00/Alessi-Caffetiera_espresso_9090-Design_Richard_Sapper_1979.jpg,D:\history of id course\images\_extras\sapper\Alessi-Caffetiera_espresso_9090-Design_Richard_Sapper_1979.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Alessi-richard-sapper.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/a/af/Alessi-richard-sapper.jpg,D:\history of id course\images\_extras\sapper\Alessi-richard-sapper.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Foto tizio.png,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/39/Foto_tizio.png,D:\history of id course\images\_extras\sapper\Foto_tizio.png,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Kessel R Sapper.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/a/a6/Kessel_R_Sapper.jpg,D:\history of id course\images\_extras\sapper\Kessel_R_Sapper.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
lihotzky,lihotzky_kitchen,Target,NotFound,,images/lihotzky/lihotzky_kitchen.jpg,No match in category
lihotzky,Margarete Schütte-Lihotzky,Target,NotFound,,images/lihotzky/Margarete Schütte-Lihotzky.jpg,No match in category
Richard Sapper,Laufenburg (22).JPG,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/31/Laufenburg_%2822%29.JPG,D:\history of id course\images\_extras\sapper\Laufenburg__22_.JPG,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Marco zanuso e richard sapper per kartell, seggiolina 4999, 1964.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/5/52/Marco_zanuso_e_richard_sapper_per_kartell%2C_seggiolina_4999%2C_1964.jpg,D:\history of id course\images\_extras\sapper\Marco_zanuso_e_richard_sapper_per_kartell__seggiolina_4999__1964.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Henry Dreyfuss,dreyfuss_big_ben_clock,Target,NotFound,,images/dreyfuss/dreyfuss_big_ben_clock.jpg,No match in category
Richard Sapper,Marco zanuso e richard sapper, telefono grillo turchese, anni '70.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d7/Marco_zanuso_e_richard_sapper%2C_telefono_grillo_turchese%2C_anni_%2770.jpg,D:\history of id course\images\_extras\sapper\Marco_zanuso_e_richard_sapper__telefono_grillo_turchese__anni__70.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Radioregistratore a musicassette, a transistor - Museo scienza tecnologia Milano 10088 dia.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/0/03/Radioregistratore_a_musicassette%2C_a_transistor_-_Museo_scienza_tecnologia_Milano_10088_dia.jpg,D:\history of id course\images\_extras\sapper\Radioregistratore_a_musicassette__a_transistor_-_Museo_scienza_tecnologia_Milano_10088_dia.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Richard sapper per alessi spa, cocotte la cintura di orione, 1986.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/9/95/Richard_sapper_per_alessi_spa%2C_cocotte_la_cintura_di_orione%2C_1986.jpg,D:\history of id course\images\_extras\sapper\Richard_sapper_per_alessi_spa__cocotte_la_cintura_di_orione__1986.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Richard sapper per alessi spa., caffettiera modello gogo, 1978-79.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/9/9a/Richard_sapper_per_alessi_spa.%2C_caffettiera_modello_gogo%2C_1978-79.jpg,D:\history of id course\images\_extras\sapper\Richard_sapper_per_alessi_spa.__caffettiera_modello_gogo__1978-79.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Richard Sapper Sandwich Clock Austin Calhoon Photograph.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/f/f8/Richard_Sapper_Sandwich_Clock_Austin_Calhoon_Photograph.jpg,D:\history of id course\images\_extras\sapper\Richard_Sapper_Sandwich_Clock_Austin_Calhoon_Photograph.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Telefono grillo viste.png,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/0/00/Telefono_grillo_viste.png,D:\history of id course\images\_extras\sapper\Telefono_grillo_viste.png,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,1915-06_Ausstellung_Verwundeten-_und_Krankenf%C3%BCrsorge_Erster_Weltkrieg_Magdeburg_Freimaurerloge_Ferdinand_zur_Gl%C3%BCckseligkeit_Peter_Behrens_A._Molling_%26_Comp._Hannover_Berlin,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/9/95/1915-06_Ausstellung_Verwundeten-_und_Krankenf%C3%BCrsorge_Erster_Weltkrieg_Magdeburg_Freimaurerloge_Ferdinand_zur_Gl%C3%BCckseligkeit_Peter_Behrens_A._Molling_%26_Comp._Hannover_Berlin.jpg,images/behrens/1915-06_Ausstellung_Verwundeten-_und_Krankenf%C3%BCrsorge_Erster_Weltkrieg_Magdeburg_Freimaurerloge_Ferdinand_zur_Gl%C3%BCckseligkeit_Peter_Behrens_A._Molling_%26_Comp._Hannover_Berlin.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Telefono Grillo.png,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/1/17/Telefono_Grillo.png,D:\history of id course\images\_extras\sapper\Telefono_Grillo.png,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Arbeitszimmer_des_Herausgebers_Alexander_Koch%2C_c._1903,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/3/3e/Arbeitszimmer_des_Herausgebers_Alexander_Koch%2C_c._1903.jpg,images/behrens/Arbeitszimmer_des_Herausgebers_Alexander_Koch%2C_c._1903.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,behrens_aeg_clock,Target,NotFound,,images/behrens/behrens_aeg_clock.jpg,No match in category
Peter Behrens,behrens_aeg_fan,Target,NotFound,,images/behrens/behrens_aeg_fan.jpg,No match in category
Peter Behrens,behrens_aeg_kettle,Target,NotFound,,images/behrens/behrens_aeg_kettle.jpg,No match in category
Peter Behrens,behrens_aeg_logo,Target,NotFound,,images/behrens/behrens_aeg_logo.jpg,No match in category
Peter Behrens,behrens_aeg_turbine_factory,Target,NotFound,,images/behrens/behrens_aeg_turbine_factory.jpg,No match in category
Peter Behrens,behrens_factory,Target,NotFound,,images/behrens/behrens_factory.jpg,No match in category
Peter Behrens,behrens_hoechst_administration_building,Target,NotFound,,images/behrens/behrens_hoechst_administration_building.jpg,No match in category
Peter Behrens,behrens_logo,Target,NotFound,,images/behrens/behrens_logo.jpg,No match in category
Peter Behrens,behrens_peter_behrens_house,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d4/De-Peter_Behrens.ogg,images/behrens/behrens_peter_behrens_house.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,behrens_posters,Target,NotFound,,images/behrens/behrens_posters.jpg,No match in category
Peter Behrens,behrens_typography,Target,NotFound,,images/behrens/behrens_typography.jpg,No match in category
Peter Behrens,D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29,Target,NotFound,,images/behrens/D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29.jpg,No match in category
Richard Sapper,Terraillon export 4000 Zanuso Sapper dall'alto.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/8/83/Terraillon_export_4000_Zanuso_Sapper_dall%27alto.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_dall_alto.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Max_Liebermann_Portr%C3%A4t_Peter_Behrens,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/8/8c/Max_Liebermann_Portr%C3%A4t_Peter_Behrens.jpg,images/behrens/Max_Liebermann_Portr%C3%A4t_Peter_Behrens.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Terraillon export 4000 Zanuso Sapper frontale.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d4/Terraillon_export_4000_Zanuso_Sapper_frontale.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_frontale.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Peter_Behrens%2C_um_1913,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/0/06/Peter_Behrens%2C_um_1913.jpg,images/behrens/Peter_Behrens%2C_um_1913.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Richard Sapper,Terraillon export 4000 Zanuso Sapper interno.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/2/23/Terraillon_export_4000_Zanuso_Sapper_interno.jpg,D:\history of id course\images\_extras\sapper\Terraillon_export_4000_Zanuso_Sapper_interno.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
