Designer,Work,Type,Status,SourceURL,LocalPath,Notes
Henry Dreyfuss,dreyfuss_20th_century_limited_train,Target,Success,https://upload.wikimedia.org/wikipedia/commons/8/8f/New_York_Central_20th_Century_Limited_1938.jpg,images/dreyfuss/dreyfuss_20th_century_limited_train.jpg,Match: File:New York Central 20th Century Limited 1938.jpg
Henry Dreyfuss,dreyfuss_big_ben_clock,Target,NotFound,,images/dreyfuss/dreyfuss_big_ben_clock.jpg,No match in category
Henry Dreyfuss,dreyfuss_honeywell_thermostat,Target,Failed,https://upload.wikimedia.org/wikipedia/commons/1/11/Dreyfuss-henry-thermostat-design.ogv,images/dreyfuss/dreyfuss_honeywell_thermostat.jpg,The process cannot access the file 'D:\history of id course\images\dreyfuss\dreyfuss_honeywell_thermostat.jpg' because it is being used by another process.
Henry Dreyfuss,dreyfuss_humanscale,Target,NotFound,,images/dreyfuss/dreyfuss_humanscale.jpg,No match in category
Henry Dreyfuss,dreyfuss_john_deere_tractor,Target,Success,https://upload.wikimedia.org/wikipedia/commons/f/fd/John_Deere_model_B_tractor%2C_Agricultural_and_Industrial_Museum_York.jpg,images/dreyfuss/dreyfuss_john_deere_tractor.jpg,Match: File:John Deere model B tractor, Agricultural and Industrial Museum York.jpg
Henry Dreyfuss,dreyfuss_polaroid_sx70,Target,NotFound,,images/dreyfuss/dreyfuss_polaroid_sx70.jpg,No match in category
Henry Dreyfuss,dreyfuss_portrait,Target,NotFound,,images/dreyfuss/dreyfuss_portrait.jpg,No match in category
Henry Dreyfuss,dreyfuss_princess_telephone,Target,Success,https://upload.wikimedia.org/wikipedia/commons/9/94/Telephone%2C_Model_102%2C_designed_by_Henry_Dreyfuss%2C_Western_Electric_Company%2C_New_York_City%2C_1928%2C_Bakelite_case%2C_metal_-_Museum_f%C3%BCr_Angewandte_Kunst_K%C3%B6ln_-_Cologne%2C_Germany_-_DSC09623.jpg,images/dreyfuss/dreyfuss_princess_telephone.jpg,Match: File:Telephone, Model 102, designed by Henry Dreyfuss, Western Electric Company, New York City, 1928, Bakelite case, metal - Museum für Angewandte Kunst Köln - Cologne, Germany - DSC09623.jpg
Henry Dreyfuss,dreyfuss_trimline_phone,Target,Success,https://upload.wikimedia.org/wikipedia/commons/9/94/Telephone%2C_Model_102%2C_designed_by_Henry_Dreyfuss%2C_Western_Electric_Company%2C_New_York_City%2C_1928%2C_Bakelite_case%2C_metal_-_Museum_f%C3%BCr_Angewandte_Kunst_K%C3%B6ln_-_Cologne%2C_Germany_-_DSC09623.jpg,images/dreyfuss/dreyfuss_trimline_phone.jpg,Match: File:Telephone, Model 102, designed by Henry Dreyfuss, Western Electric Company, New York City, 1928, Bakelite case, metal - Museum für Angewandte Kunst Köln - Cologne, Germany - DSC09623.jpg
Henry Dreyfuss,dreyfuss_western_electric_302,Target,Success,https://upload.wikimedia.org/wikipedia/commons/b/bf/Henry_dreyfuss_per_western_electric_manufacturing_co.%2C_telefono_modlelo_302%2C_1937_ca.jpg,images/dreyfuss/dreyfuss_western_electric_302.jpg,Match: File:Henry dreyfuss per western electric manufacturing co., telefono modlelo 302, 1937 ca.jpg
Henry Dreyfuss,henry_dreyfuss_big_ben_alarm_clock,Target,NotFound,,images/dreyfuss/henry_dreyfuss_big_ben_alarm_clock.webp,No match in category
Henry Dreyfuss,Henry_dreyfuss_per_western_electric_manufacturing_co.%2C_telefono_modlelo_302%2C_1937_ca,Target,Success,https://upload.wikimedia.org/wikipedia/commons/b/bf/Henry_dreyfuss_per_western_electric_manufacturing_co.%2C_telefono_modlelo_302%2C_1937_ca.jpg,images/dreyfuss/Henry_dreyfuss_per_western_electric_manufacturing_co.%2C_telefono_modlelo_302%2C_1937_ca.jpg,Match: File:Henry dreyfuss per western electric manufacturing co., telefono modlelo 302, 1937 ca.jpg
Henry Dreyfuss,Hudson_locomotive_for_the_New_York_Central,Target,Success,https://upload.wikimedia.org/wikipedia/commons/2/24/Hudson_locomotive_for_the_New_York_Central.jpg,images/dreyfuss/Hudson_locomotive_for_the_New_York_Central.jpg,Match: File:Hudson locomotive for the New York Central.jpg
Henry Dreyfuss,Bankers Trust Building 280 Park Avenue.jpg,Extra,Success,https://upload.wikimedia.org/wikipedia/commons/c/c7/Bankers_Trust_Building_280_Park_Avenue.jpg,D:\history of id course\images\_extras\dreyfuss\Bankers_Trust_Building_280_Park_Avenue.jpg,Extra Image
