Designer,FilePageURL
Christopher Dresser,https://commons.wikimedia.org/wiki/File:ChristopherDresser.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:A_Victorian_'Komai'_solid_silver_water_jug_by_Christopher_Dresser%2C_c.1880.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:The_art_of_decorative_design_(IA_artofdecoratived00dres).pdf
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Christopher_Dresser_-_Sidewall_-_Google_Art_Project.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Christopher_dresser%2C_per_coalbrookdale_company_of_ironbridge%2C_guardaroba%2C_inghilterra_1870_ca.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Christopher_Dresser00.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Dresservanda.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Length_of_woven_wool_and_silk_MET_AR1378.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Piece_MET_DP17542_1995.252.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Reptilian_Fabric.jpg
Christopher Dresser,https://commons.wikimedia.org/wiki/File:Side_chair_MET_DT3787.jpg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Peter_Behrens_by_Rudolf_Dührkoop_-_MKG.jpg
Peter Behrens,https://commons.wikimedia.org/wiki/File:De-Peter_Behrens.ogg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Dührkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_(Zeno_Fotografie).jpg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Peter_Behrens_by_Rudolf_Dührkoop_-_MKG_(cropped).jpg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Titzenthaler%2C_Waldemar_-_Behrens%2C_Peter.jpeg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Peter_Behrens%2C_um_1913.jpg
